ELLIOTT,135765,81.62,12.96,0.54,0.66,2,2.21
CUNNINGHAM,135718,73.16,21.18,0.53,0.48,2.07,2.58
DUNCAN,135187,76.39,17.33,0.52,0.99,2.21,2.55
ARMSTRONG,135044,72.39,21.01,0.58,0.93,2.31,2.79
HUDSON,134963,66.88,27.42,0.46,0.84,2.2,2.2
CARROLL,134317,82.95,11.48,0.61,0.67,1.92,2.36
LANE,134227,77.14,16.88,0.61,0.92,2.12,2.33
RILEY,133872,72.79,21.27,0.51,0.87,2.08,2.48
ANDREWS,133799,71.78,21.58,0.78,1.09,2.2,2.57
ALVARADO,133501,4.29,0.33,0.53,0.23,0.2,94.42
RAY,133171,74.97,17.54,1.94,0.93,2.05,2.56
DELGADO,132985,5.57,0.72,0.8,0.19,0.25,92.47
BERRY,132812,70.66,23.11,0.56,0.8,2.34,2.53
PERKINS,131440,69.45,24.6,0.53,0.73,2.33,2.37
HOFFMAN,131401,94.08,1.26,0.63,0.56,1.34,2.12
JOHNSTON,131373,91.62,2.41,0.68,0.83,1.84,2.62
MATTHEWS,131303,63.37,30.67,0.62,0.58,2.36,2.39
PENA,130776,5.34,0.52,1.09,0.31,0.24,92.5
RICHARDS,130529,78.67,14.86,0.66,1.04,1.96,2.81
CONTRERAS,130164,4.19,0.21,0.55,0.25,0.16,94.64
WILLIS,130152,62.22,31.07,0.51,1.33,2.55,2.31
CARPENTER,129898,86.21,8.49,0.57,0.68,1.87,2.18
LAWRENCE,129699,68.87,24.65,0.74,0.93,2.3,2.5
SANDOVAL,128948,5.29,0.21,0.55,1.77,0.25,91.93
GUERRERO,128677,4.55,0.33,2.2,0.22,0.43,92.27
GEORGE,128625,66.47,18.46,7.62,2.24,2.04,3.16
CHAPMAN,127939,79.51,14.62,0.57,0.81,2.03,2.47
RIOS,127794,4.99,0.44,0.43,0.32,0.22,93.61
ESTRADA,127470,4.58,0.43,1.66,0.2,0.28,92.86
ORTEGA,127256,4.77,0.29,1.15,0.43,0.25,93.11
WATKINS,127083,62.03,32.27,0.42,0.64,2.56,2.09
GREENE,126101,67.7,26.54,0.48,0.73,2.34,2.21
NUNEZ,125350,5.28,0.67,0.83,0.26,0.23,92.72
WHEELER,125058,80.96,13.29,0.5,0.93,1.97,2.35
VALDEZ,124995,6.29,0.48,3.35,0.65,0.56,88.66
HARPER,124461,67.9,26.22,0.49,0.72,2.36,2.31
BURKE,122877,85.93,8.76,0.68,0.54,1.68,2.41
LARSON,122587,94.79,0.49,0.74,0.62,1.41,1.95
SANTIAGO,122212,5.41,1.31,4.5,0.14,0.58,88.06
MALDONADO,121526,4.97,0.5,0.4,0.19,0.23,93.71
MORRISON,121130,79.11,14.82,0.61,0.98,1.99,2.49
FRANKLIN,120621,54.38,38.76,0.54,0.83,2.78,2.7
CARLSON,120552,94.83,0.46,0.77,0.49,1.38,2.07
AUSTIN,119706,67.47,26.01,0.61,0.8,2.34,2.78
DOMINGUEZ,119304,5.04,0.38,1.03,0.25,0.21,93.09
CARR,119076,73.61,20.82,0.49,0.59,2.08,2.41
LAWSON,119053,73.84,20.74,0.43,0.65,2.15,2.2
JACOBS,118614,74.28,16.71,0.59,3.75,2.16,2.52
OBRIEN,118557,93.85,1.29,0.76,0.37,1.42,2.32
LYNCH,117708,82.3,11.74,0.59,1.07,1.78,2.52
SINGH,116749,4.29,4.48,82.77,1.15,4.81,2.5
VEGA,116673,5.53,0.56,0.73,0.22,0.29,92.68
BISHOP,116618,84.44,10.14,0.61,0.57,1.86,2.37
MONTGOMERY,115953,67.86,26.23,0.59,0.61,2.37,2.35
OLIVER,115900,64.19,27.45,0.68,0.74,2.43,4.52
JENSEN,115679,93.97,0.44,0.73,0.82,1.4,2.64
HARVEY,115662,68,25,0.52,1.71,2.25,2.52
