Gregg,819,97.558,0.855,1.221,0,0,0.366
Jim,814,82.31,1.843,11.548,0.246,0,4.054
Leo,810,80.988,4.321,7.778,0.123,0.123,6.667
Armando,795,9.838,0.249,5.729,0.125,0,84.06
Candace,2,90.773,7.107,1.122,0.249,0,0.748
Rene,681,48.125,2.625,4,0.125,0.25,44.875
Salvador,783,5.044,0.126,2.9,0.126,0,91.803
Gilbert,771,56.757,4.633,5.148,0.386,0.129,32.947
Lloyd,773,85.64,10.22,3.364,0,0.129,0.647
Marion,346,86.476,10.923,0.65,0.26,0,1.691
Claire,4,94.141,1.693,2.995,0,0.13,1.042
Meredith,3,97.262,1.565,0.652,0.13,0,0.391
Ted,763,89.384,1.704,7.208,0.393,0,1.311
Darryl,742,69.016,26.064,3.324,0.532,0.399,0.665
Calvin,745,58.611,25.768,14.686,0.134,0.134,0.668
Brooke,3,97.312,1.344,0.403,0.134,0.134,0.672
Grant,741,96.102,0.806,2.823,0,0,0.269
Julio,738,7.278,0.539,2.022,0.135,0,90.027
Sam,720,73.04,4.539,19.257,0.138,0,3.026
Franklin,715,74.827,9.129,6.639,0.138,0.277,8.99
Nathaniel,720,73.721,22.545,1.936,0.277,0.138,1.383
Clarence,715,67.129,27.462,4.438,0.277,0.277,0.416
Traci,6,93.065,4.577,1.664,0.139,0,0.555
Terrence,712,86.908,9.471,2.646,0.139,0.279,0.557
Nina,5,83.52,4.749,7.682,0.279,0.279,3.492
Arturo,707,7.972,0,4.755,0,0.14,87.133
Ivan,705,60.364,4.902,6.583,0,0,28.151
Elena,4,65.028,0.983,6.461,0.14,0.281,27.107
Shaun,691,92.384,3.808,2.539,0.141,0.423,0.705
Jordan,517,96.751,0.706,0.989,0.141,0.141,1.271
Cecilia,4,48.011,2.273,12.074,0.142,0.142,37.358
Tommy,697,73.826,8.819,13.087,0.711,0,3.556
Karin,21,96.581,0.427,0.997,0.142,0,1.852
Daryl,609,86.552,9.156,3.147,0.143,0,1.001
Marian,32,89.24,5.308,3.73,0.143,0.143,1.435
Jacquelyn,4,86.331,10.791,0.719,0.144,0,2.014
Lewis,695,90.216,6.763,1.727,0.432,0,0.863
Eddie,685,50.144,24.64,12.248,0.144,0.288,12.536
Nelson,690,46.398,3.746,11.527,0.576,0.144,37.608
Leon,693,72.872,19.048,4.185,0.577,0.144,3.175
Alfredo,680,10.771,0.728,7.86,0,0,80.64
Cesar,674,7.048,0.147,8.957,0,0,83.847
Lillian,7,68.639,9.911,9.024,0.148,0.148,12.13
Neal,675,95.704,0.889,2.815,0.296,0,0.296
Alberto,663,11.128,0.445,6.825,0.297,0,81.306
Guadalupe,164,4.748,0,0.445,0,0,94.807
Marco,669,33.828,1.78,1.335,0,0,63.056
Luke,670,94.048,0.595,4.167,0.149,0.149,0.893
Kelley,41,97.91,1.045,0.597,0.299,0,0.149
Trevor,664,92.204,5.697,0.9,0,0.3,0.9
Salvatore,665,98.947,0,0.15,0,0.15,0.752
Clinton,662,88.218,9.215,1.813,0,0.151,0.604
Enrique,654,6.383,0,4.255,0,0,89.362
Cassandra,1,75.725,20,1.527,0,0,2.748
Evan,637,94.931,1.229,1.997,0,0.154,1.69
Juanita,8,54.954,19.659,2.477,0.31,0.774,21.827
Adrienne,6,83.385,12.733,1.553,0.155,0.155,2.019
Vernon,637,79.592,15.856,3.454,0,0,1.099
Ben,634,77.129,3.628,15.615,0,0.315,3.312
Roland,634,74.763,11.041,7.256,0,0,6.94
Colin,627,94.462,3.006,2.057,0,0.158,0.316
Dwight,624,79.006,16.667,3.045,0,0.16,1.122
Leroy,621,69.082,24.96,0.966,0.483,0.483,4.026
Priscilla,2,70.323,11.452,6.29,0.161,0.161,11.613
Leigh,31,96.602,1.456,1.294,0.162,0,0.485
Arnold,615,78.211,7.317,6.992,0,0,7.48
Mohammad,614,46.906,0.814,49.511,1.303,0.977,0.489
Alma,13,31.588,7.201,5.074,0,0,56.137
Harvey,605,85.455,8.926,3.14,0,0.331,2.149
Gerardo,599,8.458,0,5.307,0,0,86.235
Irma,9,20.3,3.827,2.163,0,0,73.71
